HCPCS_CD,lines,mean_underpay_pct,std_underpay_pct,mean_delay_days,std_delay_days,cv_underpay,cv_delay,UNDERPAY_OUTLIER,DELAY_OUTLIER,HIGH_RISK_FLAG
G8939,3,0.4666666666666666,0.46188021535170065,5.333333333333333,1.1547005383792517,0.9897433186107872,0.2165063509461097,True,True,True
G8434,3,0.39999999999999997,0.5291502622129182,2.3333333333333335,2.3094010767585034,1.3228756555322956,0.9897433186107871,True,False,True
QS,11,0.30909090909090914,0.35058392848088593,5.181818181818182,2.3159525823376357,1.1342421215558072,0.44693821764410513,True,True,True
S0605,34,0.24232668069228464,0.21763493070693476,4.0588235294117645,1.857681456051296,0.8981055246792887,0.4576896340995947,True,False,True
99497,9,0.20000050209499137,1.5062849740265424e-06,3.7777777777777777,2.3333333333333335,7.5314059627266524e-06,0.6176470588235294,False,False,True
C8923,3,0.20000000000000004,2.7755575615628914e-17,4.333333333333333,2.886751345948129,1.3877787807814454e-16,0.6661733875264914,False,False,True
G8942,4,0.2,4.239734207189668e-17,6.75,0.9574271077563381,2.119867103594834e-16,0.14184105300093897,False,True,True
C8929,2,0.2,2.7755575615628914e-17,3.0,2.8284271247461903,1.3877787807814457e-16,0.9428090415820635,False,False,True
G9530,1,0.19999999999999998,,7.0,,,,False,True,True
77080,27,0.1833332990673416,0.1948615233978936,4.2592592592592595,1.8100699644912281,1.0628812353740356,0.424972948184897,False,False,True
G8159,4,0.15000001831183982,0.10000001220791493,5.25,2.8722813232690143,0.6666666666668115,0.5471012044321932,False,True,True
G8440,1,0.0,,7.0,,,,False,True,True
